id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJbZqKgtDNs5ERdGwKNJ8axio,https://www.google.com/maps/place/?q=place_id:ChIJbZqKgtDNs5ERdGwKNJ8axio,Shili Edén,Restaurante,"Junín 689, Celendín 06225",951 716 233,+51 951 716 233,,,"-6.8660391999999995,-78.14773029999999",4,,"Comida rapida en el distrito de Sorochuco, Celendín, Cajamarca, Perú"
ChIJp2VYV9XNs5EREnkwSO_LxO4,https://www.google.com/maps/place/?q=place_id:ChIJp2VYV9XNs5EREnkwSO_LxO4,La Dolce Pizza,Pizzería,"Bolognesi 441, Celendín 06225",998 802 552,+51 998 802 552,ladolcepizzacelendin.ola.click,https://ladolcepizzacelendin.ola.click/,"-6.868055999999999,-78.1389485",4.1,,"Comida rapida en el distrito de Sorochuco, Celendín, Cajamarca, Perú"
ChIJ3WbunkLNs5ER2sJTVBpOl9I,https://www.google.com/maps/place/?q=place_id:ChIJ3WbunkLNs5ER2sJTVBpOl9I,ALA BRO - RESTOBAR,Restaurante,"Jirón, Dos de Mayo CUADRA 2, Celendín 06225",935 109 349,+51 935 109 349,facebook.com,https://www.facebook.com/Alabrooo/,"-6.8703731,-78.14622829999999",4.3,,"Comida rapida en el distrito de Sorochuco, Celendín, Cajamarca, Perú"
ChIJ7eP_RAC1s5ERZmjG1EgmUZo,https://www.google.com/maps/place/?q=place_id:ChIJ7eP_RAC1s5ERZmjG1EgmUZo,Helados sof,Comercio,"4M3V+2CQ, Sorochuco 06235",,,,,"-6.8974041999999995,-78.30639649999999",,,"Heladería en el distrito de Sorochuco, Celendín, Cajamarca, Perú"
ChIJf2lBYwC1s5ERZqVLCeswx3k,https://www.google.com/maps/place/?q=place_id:ChIJf2lBYwC1s5ERZqVLCeswx3k,Heladeria( mary),Heladería,"4M3V+4CM Iglesia Adventista Del Séptimo Día Alto Cruzpampa, Sorochuco 06235",,,,,"-6.897174199999999,-78.30645969999999",1,,"Heladería en el distrito de Sorochuco, Celendín, Cajamarca, Perú"
ChIJ7eP_RAC1s5ERZmjG1EgmUZo,https://www.google.com/maps/place/?q=place_id:ChIJ7eP_RAC1s5ERZmjG1EgmUZo,Helados sof,Comercio,"4M3V+2CQ, Sorochuco 06235",,,,,"-6.8974041999999995,-78.30639649999999",,,"Heladería en el distrito de Sorochuco, Celendín, Cajamarca, Perú"
ChIJf2lBYwC1s5ERZqVLCeswx3k,https://www.google.com/maps/place/?q=place_id:ChIJf2lBYwC1s5ERZqVLCeswx3k,Heladeria( mary),Heladería,"4M3V+4CM Iglesia Adventista Del Séptimo Día Alto Cruzpampa, Sorochuco 06235",,,,,"-6.897174199999999,-78.30645969999999",1,,"Heladería en el distrito de Sorochuco, Celendín, Cajamarca, Perú"
ChIJ7eP_RAC1s5ERZmjG1EgmUZo,https://www.google.com/maps/place/?q=place_id:ChIJ7eP_RAC1s5ERZmjG1EgmUZo,Helados sof,Comercio,"4M3V+2CQ, Sorochuco 06235",,,,,"-6.8974041999999995,-78.30639649999999",,,"Heladería en el distrito de Sorochuco, Celendín, Cajamarca, Perú"
ChIJf2lBYwC1s5ERZqVLCeswx3k,https://www.google.com/maps/place/?q=place_id:ChIJf2lBYwC1s5ERZqVLCeswx3k,Heladeria( mary),Heladería,"4M3V+4CM Iglesia Adventista Del Séptimo Día Alto Cruzpampa, Sorochuco 06235",,,,,"-6.897174199999999,-78.30645969999999",1,,"Heladería en el distrito de Sorochuco, Celendín, Cajamarca, Perú"
ChIJ7eP_RAC1s5ERZmjG1EgmUZo,https://www.google.com/maps/place/?q=place_id:ChIJ7eP_RAC1s5ERZmjG1EgmUZo,Helados sof,Comercio,"4M3V+2CQ, Sorochuco 06235",,,,,"-6.8974041999999995,-78.30639649999999",,,"Heladería en el distrito de Sorochuco, Celendín, Cajamarca, Perú"
